# Oz yerlesimi raporu — 30 seed | hedef 60-80 oz
# Tahta 36x34

seed   | aday karo | arz (tas/doga) | hedef | SACILAN | yatak | tas  doga | durum
-------|-----------|----------------|-------|---------|-------|-----------|-------
  9941 |       165 |     75/179     |    72 |      72 |    46 |   16   56 | TAMAM
   436 |       183 |     77/190     |    63 |      63 |    46 |   23   40 | TAMAM
  6118 |       174 |    105/148     |    70 |      70 |    47 |   33   37 | TAMAM
 11015 |       169 |     74/177     |    70 |      70 |    47 |   22   48 | TAMAM
  5059 |       175 |     72/172     |    76 |      76 |    54 |   21   55 | TAMAM
 10759 |       165 |     79/156     |    60 |      60 |    43 |   14   46 | TAMAM
  3647 |       167 |     89/157     |    77 |      77 |    51 |   25   52 | TAMAM
 11192 |       161 |     64/171     |    74 |      74 |    53 |   26   48 | TAMAM
  8358 |       170 |     69/186     |    66 |      66 |    43 |   24   42 | TAMAM
 11558 |       166 |     69/166     |    71 |      71 |    54 |   24   47 | TAMAM
  3867 |       169 |     79/168     |    74 |      74 |    49 |   25   49 | TAMAM
  5655 |       171 |     78/172     |    64 |      64 |    47 |   21   43 | TAMAM
  1342 |       169 |     78/160     |    78 |      78 |    55 |   32   46 | TAMAM
  7985 |       182 |     79/188     |    80 |      80 |    56 |   21   59 | TAMAM
  4717 |       161 |     61/177     |    69 |      70 |    44 |   15   55 | TAMAM
  9981 |       178 |     96/157     |    72 |      73 |    53 |   34   39 | TAMAM
  7528 |       176 |    100/159     |    63 |      64 |    46 |   22   42 | TAMAM
  8831 |       169 |     86/173     |    65 |      65 |    49 |   23   42 | TAMAM
 11574 |       170 |     74/160     |    69 |      70 |    52 |   25   45 | TAMAM
  5088 |       170 |     85/164     |    79 |      79 |    53 |   28   51 | TAMAM
  5421 |       166 |     62/178     |    72 |      72 |    51 |   18   54 | TAMAM
  1767 |       167 |     84/155     |    61 |      61 |    42 |   26   35 | TAMAM
  5674 |       172 |     75/170     |    60 |      61 |    45 |   21   40 | TAMAM
  9049 |       181 |    101/160     |    75 |      76 |    57 |   30   46 | TAMAM
  1037 |       174 |     85/170     |    61 |      63 |    41 |   19   44 | TAMAM
  4944 |       180 |     99/170     |    71 |      72 |    52 |   28   44 | TAMAM
  8226 |       173 |    100/144     |    71 |      71 |    52 |   33   38 | TAMAM
  3241 |       158 |     69/158     |    75 |      76 |    51 |   22   54 | TAMAM
 10274 |       158 |     57/171     |    60 |      60 |    46 |   16   44 | TAMAM
  2471 |       174 |     77/187     |    64 |      65 |    40 |   12   53 | TAMAM

SONUC: 30 seed'in HEPSI 60-80 araligina dustu (en az 60, en cok 80).

